rank	algorithm	activation	feature	algorithm_color
81	ica	-0.00176069206995985	34	#1f78b4
81	nmf	-0.009588218593601205	60	#b2df8a
81	adage	-0.37958200021656374	42	#33a02c
81	tybalt	-0.7327020780822133	3	#fb9a99
81	vae_100	-0.9187248640029368	6	#e31a1c
81	vae_300	-0.09372933452559729	66	#fdbf6f
82	pca	-0.9141081184084587	33	#a6cee3
82	ica	-0.0018128388428359022	85	#1f78b4
82	nmf	-0.01117480368859091	42	#b2df8a
82	adage	-0.407660541655142	93	#33a02c
82	tybalt	-0.7584823648184458	40	#fb9a99
82	vae_100	-0.9384362927555916	28	#e31a1c
82	vae_300	-0.11612562082668787	5	#fdbf6f
83	pca	-1.0676327026267989	91	#a6cee3
83	ica	-0.0020378545553657273	18	#1f78b4
83	nmf	-0.01235376512105281	24	#b2df8a
83	adage	-0.4081997894352396	29	#33a02c
83	tybalt	-0.8403147438414531	93	#fb9a99
83	vae_100	-0.9625305931798698	15	#e31a1c
83	vae_300	-0.12173898950308715	26	#fdbf6f
84	pca	-1.0679708520723779	6	#a6cee3
84	ica	-0.002312962506576339	97	#1f78b4
84	nmf	-0.015917818054434443	31	#b2df8a
84	adage	-0.46215347462445155	6	#33a02c
84	tybalt	-0.8808141804608587	37	#fb9a99
84	vae_100	-1.103905338891345	72	#e31a1c
84	vae_300	-0.12316856656953377	4	#fdbf6f
85	pca	-1.1420149161185342	34	#a6cee3
85	ica	-0.0026974273882178863	80	#1f78b4
85	nmf	-0.018176668650103946	58	#b2df8a
85	adage	-0.48465031875308373	23	#33a02c
85	tybalt	-0.9183254369462656	71	#fb9a99
85	vae_100	-1.2231843675773173	17	#e31a1c
85	vae_300	-0.13105685684023	49	#fdbf6f
86	pca	-1.267380198818126	25	#a6cee3
86	ica	-0.0027514749122683458	47	#1f78b4
86	nmf	-0.01843576518394302	85	#b2df8a
86	adage	-0.5305965910367645	81	#33a02c
86	tybalt	-0.9482538882456354	26	#fb9a99
86	vae_100	-1.2515000549522428	39	#e31a1c
86	vae_300	-0.15346244409510573	42	#fdbf6f
87	pca	-1.2749088868245475	93	#a6cee3
87	ica	-0.002894769764098637	78	#1f78b4
87	nmf	-0.020862062809079044	30	#b2df8a
87	adage	-0.5515019440740203	70	#33a02c
87	tybalt	-0.973874892530052	57	#fb9a99
87	vae_100	-1.280681950434965	1	#e31a1c
87	vae_300	-0.1567476828120479	17	#fdbf6f
88	pca	-1.3654741153113668	65	#a6cee3
88	ica	-0.0030168493525647416	71	#1f78b4
88	nmf	-0.02209869367870962	33	#b2df8a
88	adage	-0.5838669569102555	7	#33a02c
88	tybalt	-0.9848907356020771	44	#fb9a99
88	vae_100	-1.3233120622071155	59	#e31a1c
88	vae_300	-0.17776501317985605	88	#fdbf6f
89	pca	-1.5779411808034385	40	#a6cee3
89	ica	-0.003112099334658139	62	#1f78b4
89	nmf	-0.024355168309404235	45	#b2df8a
89	adage	-0.6328782437425344	63	#33a02c
89	tybalt	-1.0673175648925435	52	#fb9a99
89	vae_100	-1.4102334103112484	88	#e31a1c
89	vae_300	-0.19993679277786755	32	#fdbf6f
90	pca	-2.057798046156239	29	#a6cee3
90	ica	-0.0032269093482813274	52	#1f78b4
90	nmf	-0.02495425194458791	93	#b2df8a
90	adage	-0.6699478960776846	77	#33a02c
90	tybalt	-1.127946436649594	75	#fb9a99
90	vae_100	-1.4554003513649487	63	#e31a1c
90	vae_300	-0.2325056854424301	47	#fdbf6f
91	pca	-2.0691639336101626	49	#a6cee3
91	ica	-0.003770074959160318	13	#1f78b4
91	nmf	-0.03707030661849736	12	#b2df8a
91	adage	-0.7196741752295936	71	#33a02c
91	tybalt	-1.2189234450318676	11	#fb9a99
91	vae_100	-1.4750573049580535	92	#e31a1c
91	vae_300	-0.27846808195189576	27	#fdbf6f
92	pca	-2.6283982170416067	9	#a6cee3
92	ica	-0.00466340741544368	26	#1f78b4
92	nmf	-0.03789090303781479	88	#b2df8a
92	adage	-0.7914937532910864	13	#33a02c
92	tybalt	-1.2879472282145787	10	#fb9a99
92	vae_100	-1.6213418315873591	34	#e31a1c
92	vae_300	-0.319611357130839	74	#fdbf6f
93	pca	-3.0736656158146927	4	#a6cee3
93	ica	-0.005149130327057143	1	#1f78b4
93	nmf	-0.05115132145573531	48	#b2df8a
93	adage	-0.8089706189153363	54	#33a02c
93	tybalt	-1.3600360565505194	27	#fb9a99
93	vae_100	-1.7444246099545304	23	#e31a1c
93	vae_300	-0.4491203104006265	7	#fdbf6f
94	pca	-3.3968609368912457	24	#a6cee3
94	ica	-0.005656358927470462	42	#1f78b4
94	nmf	-0.05168433809876233	8	#b2df8a
94	adage	-0.9960512371916757	9	#33a02c
94	tybalt	-1.397345774057694	38	#fb9a99
94	vae_100	-1.7508228405380666	22	#e31a1c
94	vae_300	-0.50544775902136	82	#fdbf6f
95	pca	-3.856216422588467	8	#a6cee3
95	ica	-0.005948039919234824	21	#1f78b4
95	nmf	-0.05263437381845822	62	#b2df8a
95	adage	-1.2462316145125838	73	#33a02c
95	tybalt	-1.771895168596548	67	#fb9a99
95	vae_100	-2.6389730556446604	18	#e31a1c
95	vae_300	-0.577933720985236	69	#fdbf6f
96	pca	-4.698735386332409	2	#a6cee3
96	ica	-0.006881357339784416	23	#1f78b4
96	nmf	-0.052936263518120565	49	#b2df8a
96	adage	-1.3446192424083523	43	#33a02c
96	tybalt	-1.8859416374571083	22	#fb9a99
96	vae_100	-2.927765236051533	32	#e31a1c
96	vae_300	-0.6193306677747824	39	#fdbf6f
97	pca	-7.004477078262255	7	#a6cee3
97	ica	-0.0077003167713605575	44	#1f78b4
97	nmf	-0.07061069794217419	32	#b2df8a
97	adage	-1.415093561357133	94	#33a02c
97	tybalt	-2.0387122063399596	17	#fb9a99
97	vae_100	-3.0495431548592347	26	#e31a1c
97	vae_300	-0.6260594361595596	28	#fdbf6f
98	pca	-8.451492800210065	18	#a6cee3
98	ica	-0.00833596413285601	57	#1f78b4
98	nmf	-0.0874381928059973	89	#b2df8a
98	adage	-1.7023718623442112	37	#33a02c
98	tybalt	-2.9116355912913656	56	#fb9a99
98	vae_100	-3.9482347889466958	5	#e31a1c
98	vae_300	-0.6295564529526807	45	#fdbf6f
99	pca	-9.965287518572152	3	#a6cee3
99	ica	-0.010004433734826358	58	#1f78b4
99	nmf	-0.1663396467803681	44	#b2df8a
99	adage	-1.9511237711718554	88	#33a02c
99	tybalt	-3.1476504724066956	77	#fb9a99
99	vae_100	-4.073996963763861	16	#e31a1c
99	vae_300	-0.6559977162185402	12	#fdbf6f
